id,behoefte (need),need (EN),oplossing (solution),aanpassing als nodig (adapt if needed),bewijs (evidence),bron (source),kost (cost),zekerheid
N01,Ik kan niet typen,I cannot type,De agent aanvaardt één cijfer of één woord als volledig antwoord.,"Lukt zelfs dat niet: de agent leest drie opties voor en de gebruiker knikt, wijst of laat iemand kiezen.",Cijfers/letters volstaan als invoer; abbreviatie-expansie bespaart 73–77 % van de toetsaanslagen bij correcte expansie.,"Cai et al., NAACL 2022 (context-aware abbreviation expansion)",gratis,BEWEZEN
N02,Ik wil zo weinig mogelijk moeten zeggen of doen,I want to do as little as possible,Eerste letters of één kernwoord volstaan; de agent vult de rest van de zin aan.,"Raadt de agent fout: hij toont 3 mogelijke zinnen en de gebruiker kiest nummer 1, 2 of 3.","LLM-expansie: 48–77 % van de zinnen correct, met context meer dan dubbel zo accuraat; schrijftijd 40 s → 13,1 s in simulatie.",Cai et al. 2022; arXiv 2501.10582 (LLM's voor AAC),gratis,BEWEZEN
N03,Vasthouden lukt niet,I cannot hold the button,"Eén korte klik per keuze. Bevestigen gebeurt met twee losse klikken, nooit met één hold.",Als een programma toch vasthouden eist: Windows ClickLock of macOS Drag Lock aanzetten (eenmalig door een helper).,WCAG 2.2 SC 2.5.7 (Dragging Movements) verplicht een alternatief met één aanwijzer; ClickLock/Drag Lock zijn ingebouwde standaardvoorzieningen.,W3C WCAG 2.2; Microsoft/Apple systeeminstellingen,gratis,BEWEZEN
N04,Slepen lukt niet,I cannot drag,"Elke sleepactie krijgt een knopalternatief (hoger/lager, + en −, noord/zuid, bestand kiezen).",Bestaat er geen alternatief: meld het als toegankelijkheidsfout van de website en zoek een andere weg of een mens.,WCAG 2.2 SC 2.5.7 + SC 2.5.1 (Pointer Gestures).,W3C WCAG 2.2,gratis,BEWEZEN
N05,Fijn mikken op kleine dingen lukt niet,I cannot aim at small targets,"Doelen minimaal 12 mm (≈64 px), ruim uit elkaar, geen kleine pijltjes of icoontjes.","Nog te moeilijk: Voice Access “show numbers” → “click 12”, of Dwell Control zonder klikken.",Minimumdoelgrootte voor mensen met motorische beperking is 12 mm i.p.v. 7–10 mm; target-expansie en sticky icons verbeteren de trefkans.,"Lee & Wobbrock (ability-based design); Wobbrock e.a., “Assistive Technologies and Computer Access for Motor Disabilities”",gratis,BEWEZEN
N06,Klikken kost moeite of tijd,Clicking takes effort,Directe selectie (klikken) krijgt de voorkeur: sneller en minder mentale belasting dan scannen.,"Wordt klikken te vermoeiend of te onnauwkeurig: scanning met één schakelaar als terugval — nauwkeuriger, maar trager en mentaal zwaarder.","Eye control was significant sneller, single-switch scanning significant nauwkeuriger; beide verbeteren met oefening. Directe selectie is sneller en minder cognitief belastend, maar vraagt meer motorische controle.","OHSU-onderzoek bij ALS (oogbesturing vs. scan); Burkhart, “Stepping Stones to Switch Access”",gratis tot betalend,BEWEZEN
N07,Kleine letters lukken niet,Small print does not work,"Basistekst 16–18 pt (in de praktijk 24 px), regelafstand 1,5–2,0, korte regels.","Helpt groter maken niet meer: voorlezen als tweede weg, of de agent herformatteert de tekst tot een grote-letterversie.","10 pt → 16 pt verhoogt de leessnelheid van 144 naar 163 woorden/min; minimum 14–16 pt laat 88 % → 94,4 % van de 65-plussers vlot lezen; slechtzienden hebben ≥16–18 pt nodig.",Br J Optom 2006 (font & line width); JVIB 2007 (legibility review),gratis,BEWEZEN
N08,Ik wil niet zelf hoeven zoomen,I do not want to zoom myself,"De agent herformatteert zelf: grote letters, koppen eerst, korte alinea's, geen kolommen.","Kan de chat niet herformatteren: geef een aangepaste versie in de tekstballon, of lees voor.","Grote-lettereditie gaf 18 % snellere leessnelheid en 30 % sneller een doel vinden dan knijpzoomen, met lagere werkdruk en herstel van de normale leesstrategie.",Studie 2026: large print versus gesture-based magnification,gratis,BEWEZEN
N09,Welk lettertype is het beste?,Which font is best?,Kies een rustige schreefloze letter en verspil daar geen tijd aan; grootte en contrast doen het werk.,"Wil de gebruiker zelf een lettertype (bv. Lexend of OpenDyslexic): volg de gebruiker, geen discussie.",Lettertype en regelhoogte hadden weinig invloed op leessnelheid bij matige slechtziendheid; er is geen empirisch bewezen optimaal font.,Br J Optom 2006; Russell-Minda e.a. (review),gratis,BEWEZEN (negatief resultaat)
N10,Extra letterafstand zou helpen,Extra letter spacing should help,Niet doen: standaardafstand is optimaal voor de meeste lezers.,Alleen als de gebruiker zelf zegt dat losser beter leest — dan volgen.,Extra letterafstand boven de standaard verhoogt de leessnelheid niet (centraal noch perifeer).,"Legge, “Reading Digital with Low Vision” (2016)",gratis,BEWEZEN (negatief resultaat)
